recipe_name,ingredients,instructions,difficulty,time_to_cook_min,cuisine,tags
Bun Cha (Grilled Pork with Noodles),pork patties; pork belly; fish sauce; sugar; garlic; shallots; rice vermicelli; herbs; lettuce; dipping sauce,"Marinate and grill pork patties and slices. Serve with rice noodles, herbs, lettuce and a sweet-sour fish sauce dipping broth.",medium,45,Vietnamese,high protein; dairy free
Vietnamese Iced Coffee (Ca Phe Sua Da),strong coffee; sweetened condensed milk; ice,"Brew strong coffee. Pour over condensed milk in a glass, stir and add plenty of ice.",easy,10,Vietnamese,drink; contains dairy
Cacio e Pepe,spaghetti; Pecorino Romano; black pepper; salt,"Cook spaghetti until al dente. Toast cracked pepper in a pan, add some cooking water, then toss in pasta and finely grated Pecorino off the heat until creamy.",medium,20,Italian,vegetarian; simple ingredients
Panzanella Bread Salad,stale bread; tomatoes; cucumber; red onion; basil; olive oil; red wine vinegar; salt; pepper,"Soak bread cubes briefly in water and squeeze dry. Toss with chopped vegetables, basil, oil and vinegar. Let sit so flavours meld.",easy,20,Italian,vegetarian; uses leftovers
Fettuccine Alfredo,fettuccine; butter; Parmesan; pasta cooking water; salt; pepper,"Cook fettuccine until al dente. Toss hot pasta with butter and grated Parmesan, adding a little cooking water to form a silky sauce.",easy,20,Italian,vegetarian; rich; contains dairy
Garlic Butter Shrimp Pasta,spaghetti; prawns; garlic; butter; olive oil; chilli flakes; lemon; parsley; salt; pepper,"Cook spaghetti. Sauté garlic and chilli in butter and oil, add prawns and cook until pink. Toss in pasta, lemon juice and parsley.",easy,25,Italian,pescatarian; high protein
Lentil Bolognese,dry lentils; onion; carrot; celery; garlic; tomato puree; chopped tomatoes; vegetable stock; olive oil; Italian herbs; salt; pepper; pasta,"Sauté chopped vegetables and garlic, then stir in lentils, tomato puree and tomatoes. Add stock and simmer until lentils are tender and sauce thick. Serve over pasta.",easy,40,Italian,vegan; high fiber
Overnight Oats with Berries,rolled oats; milk; yogurt; chia seeds; honey; mixed berries,"Mix oats, milk, yogurt, chia and honey in a jar. Chill overnight. Top with berries in the morning.",easy,10,Global,breakfast; high fiber; vegetarian
Grilled Halloumi with Couscous Salad,halloumi; couscous; cherry tomatoes; cucumber; red onion; lemon juice; olive oil; parsley; mint; salt; pepper,"Pour hot water over couscous and cover to steam. Fluff and mix with chopped vegetables and herbs, lemon and oil. Grill halloumi slices until golden and serve on top.",easy,25,Mediterranean,vegetarian; high protein
Chickpea and Spinach Curry,canned chickpeas; spinach; onion; garlic; ginger; tomatoes; curry powder; coconut milk; oil; salt,"Sauté onion, garlic and ginger, then add curry powder and tomatoes. Stir in chickpeas and coconut milk and simmer. Add spinach until wilted.",easy,30,Indian-inspired,vegan; gluten free; high fiber
Baked Salmon with Lemon and Dill,salmon fillets; lemon; dill; olive oil; garlic; salt; pepper,"Place salmon on a tray, drizzle with oil, lemon and garlic, and scatter dill. Bake until just cooked through.",easy,20,Global,high protein; low carb; pescatarian
Roasted Vegetable Traybake,mixed root vegetables; peppers; red onion; olive oil; rosemary; thyme; salt; pepper,"Toss chopped vegetables with oil, herbs and seasoning. Roast in a hot oven until caramelised and tender.",easy,45,Global,vegan; gluten free; meal prep
Greek Yogurt Parfait with Granola,Greek yogurt; granola; honey; mixed berries,"Layer yogurt, granola and berries in a glass. Drizzle with honey and serve.",easy,10,Global,breakfast; high protein
Pesto Chicken Salad Wrap,tortilla wraps; cooked chicken; pesto; yogurt; lettuce; tomato; salt; pepper,"Mix shredded chicken with pesto and mayo. Spread on wraps with lettuce and tomato, then roll up.",easy,15,Global,high protein; contains gluten
Black Bean Chili,black beans; onion; garlic; bell pepper; tomatoes; chilli powder; cumin; smoked paprika; vegetable stock; oil; salt,"Sauté vegetables and garlic, then add spices and toast. Pour in tomatoes, beans and stock and simmer until thick.",easy,40,Tex-Mex,vegan; high fiber; gluten free
